metric,value
archivo,SS000031.CSV
atleta,solo elevacin izquierda
firmware,SS-LITE-BLE-SD-V1-052
modo,TEST
duracion_s,38
muestras,291
rot_der_deg,0.8
rot_izq_deg,44.63
rot_prom_deg,22.72
simetria_diff_deg,43.83
alineacion_prom_deg,13.9
base_pitch_deg,0.5
base_roll_deg,-2.5
base_ud,9.34
impulso_prom,2.36
brazadas_estimadas,9
ritmo_s,3.17
gps_puntos,0
distancia_m,0
mejor_tramo_inicio_s,0.7
mejor_tramo_fin_s,30.7
