metric,value
archivo,SS000033.CSV
atleta,solo izquierda
firmware,SS-LITE-BLE-SD-V1-052
modo,TEST
duracion_s,9
muestras,84
rot_der_deg,0.47
rot_izq_deg,56.88
rot_prom_deg,28.67
simetria_diff_deg,56.41
alineacion_prom_deg,21.75
base_pitch_deg,-0.9
base_roll_deg,-1.6
base_ud,9.45
impulso_prom,3.34
brazadas_estimadas,5
ritmo_s,1.6
gps_puntos,84
distancia_m,0.11
mejor_tramo_inicio_s,0.68
mejor_tramo_fin_s,9.68
